Country,Warnings,date,isHeatWave,isHeatWaveCat
Jamaica,"['Drought/Dry spell', 'Flood', 'Rain/Wet Spell', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Tropical cyclone', 'Tsunami', 'Yes', 'No', 'Yes', '2-days', 'Yes', 'Yes', 'Yes', 'Yes', 'No', 'Over 80,000']",09/29/2023,0,No
Japan,"['Avalanche', 'Cold wave', 'Dust storm/Sandstorm', 'Extra-tropical cyclone', 'Flood', 'Fog', 'Freezing rain', 'Frost', 'Hail', 'Haze/Smoke', 'Heat wave', 'High Seas/Rogue waves etc.', 'High UV radiation', 'Icing', 'Landslide/Mudslide & Debris flow', 'Yes', 'No', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']",09/29/2023,1,Yes
Jordan,[0],09/27/2023,2,Unknown
Kazakhstan,[0],09/26/2023,2,Unknown
Kenya,"['Drought/Dry spell', 'Dust storm/Sandstorm', 'Flood', 'Fog', 'Frost', 'Hail', 'High Seas/Rogue waves etc.', 'High UV radiation', 'Landslide/Mudslide & Debris flow', 'Lightning', 'Pollen pollution/Polluted air', 'Rain/Wet Spell', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Tropical cyclone', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', '10,000']",09/29/2023,0,No
Kiribati,[0],09/26/2023,2,Unknown
Kuwait,[0],09/26/2023,2,Unknown
Kyrgyzstan,[0],09/29/2023,2,Unknown
Lao People's Democratic Republic,"['Drought/Dry spell', 'Flood', 'Landslide/Mudslide & Debris flow', 'Lightning', 'Rain/Wet Spell', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Tropical cyclone', 'Wind', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'No']",09/27/2023,0,No
Latvia,[0],09/26/2023,2,Unknown
Lebanon,[0],09/29/2023,2,Unknown
Lesotho,"['No', 'No', 'Yes', 'Yes', 'Yes', 'No']",09/29/2023,0,No
Liberia,"['No', 'No', 'No', 'Yes', 'Yes', 'No', 'No']",09/29/2023,0,No
Libya,"['Cold wave', 'Dust storm/Sandstorm', 'Flood', 'Fog', 'Frost', 'Hail', 'Haze/Smoke', 'Heat wave', 'Lightning', 'Rain/Wet Spell', 'Snowstorm', 'Thunderstorms/Squall lines', 'Wind', 'Yes', 'No', 'Yes', '24/7', 'Yes', 'No', 'No', 'Yes', 'Yes', '50,000']",09/29/2023,1,Yes
Lithuania,[0],09/29/2023,2,Unknown
Luxembourg,[0],09/27/2023,2,Unknown
"Macao, China","['Cold wave', 'Fog', 'Haze/Smoke', 'Heat wave', 'High UV radiation', 'Lightning', 'Rain/Wet Spell', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Tornado', 'Tropical cyclone', 'Tsunami', 'Wind', 'Yes', 'Yes', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No', '>95']",09/26/2023,1,Yes
Madagascar,"['Cold wave', 'Drought/Dry spell', 'Flood', 'Fog', 'Hail', 'Heat wave', 'High Seas/Rogue waves etc.', 'Lightning', 'Rain/Wet Spell', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Tropical cyclone', 'Wind', 'Yes', 'Yes', 'Yes', '5 JOURS', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', '20 000']",09/26/2023,1,Yes
Malawi,"['Drought/Dry spell', 'Flood', 'Fog', 'Heat wave', 'Lightning', 'Rain/Wet Spell', 'Thunderstorms/Squall lines', 'Tropical cyclone', 'Wind', 'Yes', 'No', 'Yes', '48 hours', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', '25,000 approximate']",09/27/2023,1,Yes
Malaysia,"['Drought/Dry spell', 'Haze/Smoke', 'Heat wave', 'High Seas/Rogue waves etc.', 'Rain/Wet Spell', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Tropical cyclone', 'Tsunami', 'Wind', 'Yes', 'No', 'Yes', 'Continuous Rainfall Warning : 3 days', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'more than 75,000']",09/29/2023,1,Yes
Maldives,[0],09/27/2023,2,Unknown
Mali,"['Drought/Dry spell', 'Dust storm/Sandstorm', 'Fog', 'Haze/Smoke', 'Heat wave', 'Lightning', 'Rain/Wet Spell', 'Thunderstorms/Squall lines', 'Wild land fire/Forest fire', 'Wind', 'No', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'No']",09/29/2023,1,Yes
Malta,[0],09/26/2023,2,Unknown
Mauritania,"['Cold wave', 'Drought/Dry spell', 'Dust storm/Sandstorm', 'Fog', 'Haze/Smoke', 'Heat wave', 'High Seas/Rogue waves etc.', 'Rain/Wet Spell', 'Thunderstorms/Squall lines', 'Wind', 'Yes', 'No', 'No', 'No', 'Yes', 'Yes', 'No', 'No', '5000']",09/29/2023,1,Yes
Mauritius,"['Cold wave', 'Flood', 'Heat wave', 'High Seas/Rogue waves etc.', 'Rain/Wet Spell', 'Tropical cyclone', 'Tsunami', 'Wind', 'Yes', 'Yes', 'No', '24 hours', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', '100']",09/29/2023,1,Yes
Mexico,"['Biomass burning plumes', 'Cold wave', 'Drought/Dry spell', 'Dust storm/Sandstorm', 'Extra-tropical cyclone', 'Fog', 'Freezing rain', 'Frost', 'Hail', 'Haze/Smoke', 'Heat wave', 'Icing', 'Lightning', 'Rain/Wet Spell', 'Snow', 'Yes', 'Yes', 'Yes', '4 días', 'Yes', 'Yes', 'Yes', 'No', '720 habitantes']",09/29/2023,1,Yes
Micronesia (Federated States of),[0],09/27/2023,2,Unknown
Monaco,[0],09/27/2023,2,Unknown
Mongolia,"['Cold wave', 'Dust storm/Sandstorm', 'Flood', 'Freezing rain', 'Hail', 'Heat wave', 'Lightning', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Wind', 'Yes', 'Yes', 'Yes', '72 hours', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', '70,000 - national, 80,000 - local governments']",09/27/2023,1,Yes
Montenegro,"['Cold wave', 'Drought/Dry spell', 'Flood', 'Fog', 'Heat wave', 'Snow', 'Wind', 'Yes', 'No', 'Yes', 'No', 'Yes', 'Yes', 'No', 'No']",09/29/2023,1,Yes
Morocco,"['Cold wave', 'Dust storm/Sandstorm', 'Hail', 'Heat wave', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Thunderstorms/Squall lines', 'Wind', 'Yes', 'No', '3 - jours', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']",09/26/2023,1,Yes
Mozambique,[0],09/29/2023,2,Unknown
Myanmar,"['Cold wave', 'Extra-tropical cyclone', 'Flood', 'Fog', 'Hail', 'Heat wave', 'High Seas/Rogue waves etc.', 'Icing', 'Lightning', 'Rain/Wet Spell', 'Snow', 'Space weather event', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Tornado', 'Yes', 'Yes', 'Yes', 'Maximum lead time(s) are different because of the condition of weather events and condition. Some are 3 days ahead and some are 6-hours.', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'condition of hazard. Our dissemination system is Multi Channel.']",09/27/2023,1,Yes
Namibia,"['Cold wave', 'Dust storm/Sandstorm', 'Flood', 'Fog', 'Frost', 'Hail', 'Heat wave', 'Lightning', 'Rain/Wet Spell', 'Thunderstorms/Squall lines', 'Wind', 'Yes', 'No', 'No', 'at least 48 hours before event', 'Yes', 'Not applicable', 'No', 'No', 'unknown']",09/29/2023,1,Yes
Nauru,[0],09/27/2023,2,Unknown
Nepal,"['Flood', 'Lightning', 'Rain/Wet Spell', 'Snow', 'Thunderstorms/Squall lines', 'Wind', 'Yes', 'No', 'Yes', 'No', 'Yes', 'Yes', 'No', 'No']",09/29/2023,0,No
Netherlands,"['Cold wave', 'Drought/Dry spell', 'Flood', 'Fog', 'Freezing rain', 'Hail', 'Heat wave', 'High Seas/Rogue waves etc.', 'Icing', 'Lightning', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Space weather event', 'Storm surge/Coastal flood', 'Yes', 'Yes', 'Yes', '24 hours', 'Yes', 'Yes', 'Yes', 'Yes', 'No', '100.000']",09/29/2023,1,Yes
New Caledonia,[0],09/29/2023,2,Unknown
New Zealand,[0],09/29/2023,2,Unknown
Nicaragua,[0],09/26/2023,2,Unknown
Niger,"['Cold wave', 'Drought/Dry spell', 'Dust storm/Sandstorm', 'Fog', 'Freezing rain', 'Haze/Smoke', 'Heat wave', 'Lightning', 'Rain/Wet Spell', 'Space weather event', 'Thunderstorms/Squall lines', 'Wind', 'Yes', 'No', 'Yes', '24 heures', 'Yes', 'Yes', 'No', 'No', '5000']",09/29/2023,1,Yes
Nigeria,"['Drought/Dry spell', 'Dust storm/Sandstorm', 'Flood', 'Heat wave', 'Rain/Wet Spell', 'Thunderstorms/Squall lines', 'Wind', 'Yes', 'No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']",09/29/2023,1,Yes
Niue,[0],09/29/2023,2,Unknown
North Macedonia,"['Cold wave', 'Drought/Dry spell', 'Dust storm/Sandstorm', 'Extra-tropical cyclone', 'Flood', 'Fog', 'Freezing rain', 'Frost', 'Hail', 'Heat wave', 'High UV radiation', 'Lightning', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'not evaluated']",09/26/2023,1,Yes
Norway,"['Avalanche', 'Extra-tropical cyclone', 'Flood', 'Freezing rain', 'Frost', 'Heat wave', 'High Seas/Rogue waves etc.', 'Icing', 'Landslide/Mudslide & Debris flow', 'Lightning', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Yes', 'Yes', 'Yes', 'Dependent of the phenomena the lead time is from 12 hours to 3 days. Most general warnings has a lead time between 1 and 2 days.', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'No', 'Everyone.']",09/26/2023,1,Yes
Oman,[0],09/29/2023,2,Unknown
Pakistan,[0],09/26/2023,2,Unknown
Panama,"['Drought/Dry spell', 'Flood', 'High UV radiation', 'Lightning', 'Rain/Wet Spell', 'Storm surge/Coastal flood', 'Tropical cyclone', 'Wild land fire/Forest fire', 'Wind', 'Yes', 'No', 'Yes', 'Aviso de Vigilancia son 72 horas de anticipación y de Advertencia de dos a tres horas de anticipación y se actualiza cada tres horas.', 'Yes', 'Yes', 'Yes', 'No', 'No', 'El 75 de la población.']",09/26/2023,0,No
Papua New Guinea,[0],09/26/2023,2,Unknown
Paraguay,"['Cold wave', 'Frost', 'Hail', 'Heat wave', 'Lightning', 'Thunderstorms/Squall lines', 'Volcanic ash', 'Wind', 'Yes', 'Yes', 'Yes', '24 horas', 'Yes', 'Yes', 'Yes', 'No', 'No']",09/29/2023,1,Yes
Peru,"['Cold wave', 'Drought/Dry spell', 'Flood', 'Fog', 'Freezing rain', 'Frost', 'Hail', 'Heat wave', 'High UV radiation', 'Landslide/Mudslide & Debris flow', 'Lightning', 'Pollen pollution/Polluted air', 'Rain/Wet Spell', 'Snow', 'Thunderstorms/Squall lines', 'Yes', 'No', 'Yes', '24 horas o más', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', '8,300']",09/29/2023,1,Yes
Philippines,"['Drought/Dry spell', 'Flood', 'Frost', 'Haze/Smoke', 'Landslide/Mudslide & Debris flow', 'Lightning', 'Rain/Wet Spell', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Tropical cyclone', 'Wind', 'Yes', 'Yes', 'For weather Forecasts - up to 72 hrs or 3 days, and 120 hours or 5 days. For flood in Major/Big River Basins - 6-12 hrs, For principal/small River basins - 3-6 hrs', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']",09/29/2023,0,No
Poland,"['Cold wave', 'Drought/Dry spell', 'Extra-tropical cyclone', 'Flood', 'Fog', 'Freezing rain', 'Frost', 'Hail', 'Heat wave', 'High Seas/Rogue waves etc.', 'Icing', 'Lightning', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Yes', 'No', 'Yes', 'up to 4 days', 'Yes', 'Yes', 'Yes', 'No', 'Very difficult question. I would risk the answer 100 - alerting system should reach everyone in the teritory of the country']",09/26/2023,1,Yes
Portugal,[0],09/29/2023,2,Unknown
Qatar,[0],09/29/2023,2,Unknown
Republic of Korea,"['Cold wave', 'Drought/Dry spell', 'Dust storm/Sandstorm', 'Heat wave', 'High Seas/Rogue waves etc.', 'Rain/Wet Spell', 'Snow', 'Storm surge/Coastal flood', 'Tropical cyclone', 'Tsunami', 'Volcanic ash', 'Wind', 'Yes', 'No', 'Yes', 'No', 'Yes', 'Yes', 'No', 'Yes', 'No', 'Almost 100,000 people']",09/29/2023,1,Yes
Republic of Moldova,"['Cold wave', 'Drought/Dry spell', 'Dust storm/Sandstorm', 'Flood', 'Fog', 'Freezing rain', 'Frost', 'Hail', 'Heat wave', 'Icing', 'Lightning', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Thunderstorms/Squall lines', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'No', 'No']",09/29/2023,1,Yes
Romania,"['Avalanche', 'Cold wave', 'Drought/Dry spell', 'Extra-tropical cyclone', 'Fog', 'Freezing rain', 'Frost', 'Hail', 'Heat wave', 'Icing', 'Lightning', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Storm surge/Coastal flood', 'Yes', 'Yes', 'Yes', 'Up to 3…5 days for general warnings and up to 6 hours for nowcasting warnings', 'Yes', 'Yes', 'Yes', 'No', 'Emergency Mobile Alerts (EMA) is an alerting network in Romania designed to disseminate emergency alerts to mobile devices. Because the mobile voice signal on the territory of Romania covers 98 of the Romanian population (20,121,641 people) and because recent studies and research show that disaster warning systems have an impact of 25, it results that the people covered by early warning information through national dissemination mechanisms (RO-ALERT) at the level of the entire country is 4,929,802 people, meaning approximately 49 people / 100,000 people.']",09/29/2023,1,Yes
Russian Federation,[0],09/29/2023,2,Unknown
Rwanda,"['Flood', 'Landslide/Mudslide & Debris flow', 'Lightning', 'Rain/Wet Spell', 'Wind', 'Yes', 'No', 'No', 'At least 30 min before it occurs', 'Yes', 'Yes', 'Yes', 'No', '120']",09/29/2023,0,No
Saint Lucia,"['Drought/Dry spell', 'Flood', 'Haze/Smoke', 'High Seas/Rogue waves etc.', 'Landslide/Mudslide & Debris flow', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Tropical cyclone', 'Tsunami', 'Volcanic ash', 'Wind', 'Yes', 'No', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'No', '40']",09/26/2023,0,No
Samoa,[0],09/29/2023,2,Unknown
Sao Tome and Principe,[0],09/26/2023,2,Unknown
Saudi Arabia,"['Cold wave', 'Dust storm/Sandstorm', 'Extra-tropical cyclone', 'Flood', 'Fog', 'Freezing rain', 'Frost', 'Hail', 'Haze/Smoke', 'Heat wave', 'Lightning', 'Rain/Wet Spell', 'Snow', 'Thunderstorms/Squall lines', 'Wind', 'Yes', 'No', 'Yes', 'No', 'Yes', 'Yes', 'No', 'No']",09/29/2023,1,Yes
Senegal,"['Cold wave', 'Drought/Dry spell', 'Dust storm/Sandstorm', 'Fog', 'Haze/Smoke', 'Heat wave', 'Lightning', 'Pollen pollution/Polluted air', 'Rain/Wet Spell', 'Thunderstorms/Squall lines', 'Wind', 'Yes', 'No', '72H, 48H, 24H, 6H, 3H, 2H', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Information disponible auprès de la Direction de la Protection Civile (DPC)']",09/29/2023,1,Yes
Serbia,"['Cold wave', 'Drought/Dry spell', 'Extra-tropical cyclone', 'Flood', 'Fog', 'Freezing rain', 'Frost', 'Hail', 'Heat wave', 'High UV radiation', 'Icing', 'Lightning', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']",09/29/2023,1,Yes
Seychelles,"['Drought/Dry spell', 'Flood', 'Lightning', 'Storm surge/Coastal flood', 'Tropical cyclone', 'Tsunami', 'Wind', 'Yes', 'No', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'No']",09/26/2023,0,No
Sierra Leone,"['Flood', 'Fog', 'Rain/Wet Spell', 'Thunderstorms/Squall lines', 'Wind', 'No', 'No', 'No', 'Yes', 'Yes', 'No', 'No', '100']",09/29/2023,0,No
Singapore,"['Drought/Dry spell', 'Haze/Smoke', 'Heat wave', 'High Seas/Rogue waves etc.', 'Lightning', 'Rain/Wet Spell', 'Thunderstorms/Squall lines', 'Tropical cyclone', 'Volcanic ash', 'No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'All']",09/26/2023,1,Yes
Slovakia,"['Cold wave', 'Flood', 'Fog', 'Freezing rain', 'Frost', 'Hail', 'Heat wave', 'Icing', 'Pollen pollution/Polluted air', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Thunderstorms/Squall lines', 'Wind', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'Not applicable', 'Yes', 'No', 'No', 'do not know']",09/29/2023,1,Yes
Slovenia,"['Avalanche', 'Cold wave', 'Drought/Dry spell', 'Flood', 'Freezing rain', 'Frost', 'Hail', 'Heat wave', 'High Seas/Rogue waves etc.', 'Pollen pollution/Polluted air', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Yes', 'Yes', 'Yes', '72 - hours', 'Yes', 'Yes', 'Yes', 'Yes', 'No', '98,000']",09/29/2023,1,Yes
Solomon Islands,[0],09/29/2023,2,Unknown
Somalia,[0],09/29/2023,2,Unknown
South Africa,"['Cold wave', 'Drought/Dry spell', 'Dust storm/Sandstorm', 'Extra-tropical cyclone', 'Flood', 'Fog', 'Frost', 'Hail', 'Heat wave', 'High Seas/Rogue waves etc.', 'Icing', 'Landslide/Mudslide & Debris flow', 'Lightning', 'Rain/Wet Spell', 'Snow', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'No']",09/29/2023,1,Yes
South Sudan,"['Drought/Dry spell', 'Dust storm/Sandstorm', 'Flood', 'Fog', 'Haze/Smoke', 'Landslide/Mudslide & Debris flow', 'Lightning', 'Rain/Wet Spell', 'Thunderstorms/Squall lines', 'Wind', 'Yes', 'No', 'No', 'No', 'Yes', 'No', 'No', 'No', '80,000']",09/29/2023,0,No
Spain,"['Avalanche', 'Cold wave', 'Fog', 'Hail', 'Haze/Smoke', 'Heat wave', 'High Seas/Rogue waves etc.', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Thunderstorms/Squall lines', 'Tropical cyclone', 'Wind', 'Yes', 'Yes', 'Yes', '2 días', 'No', 'No', 'No', 'Desconocido']",09/29/2023,1,Yes
Sri Lanka,[0],09/26/2023,2,Unknown
Sudan,"['Cold wave', 'Drought/Dry spell', 'Dust storm/Sandstorm', 'Heat wave', 'Rain/Wet Spell', 'Thunderstorms/Squall lines', 'Wind', 'Yes', 'No', 'No', 'No', 'Yes', 'Yes', 'No', 'No']",09/29/2023,1,Yes
Suriname,[0],09/29/2023,2,Unknown
Sweden,"['Drought/Dry spell', 'Flood', 'Freezing rain', 'Hail', 'Heat wave', 'High Seas/Rogue waves etc.', 'Icing', 'Lightning', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Space weather event', 'Thunderstorms/Squall lines', 'Wild land fire/Forest fire', 'Wind', 'Yes', 'Yes', 'Yes', 'No regulated maximum lead time however our products (website, mobile app and others) will be able to indicate warnings up to four days ahead from the end of Ocotober.', 'Yes', 'No', 'Yes', 'Yes', 'Yes', '100000']",09/29/2023,1,Yes
Switzerland,"['Cold wave', 'Drought/Dry spell', 'Frost', 'Hail', 'Heat wave', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Thunderstorms/Squall lines', 'Wind', 'Yes', 'Yes', 'Yes', 'this is hazard-type specific', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'No', ""100'000""]",09/29/2023,1,Yes
Syrian Arab Republic,[0],09/29/2023,2,Unknown
Tajikistan,[0],09/27/2023,2,Unknown
Thailand,"['Drought/Dry spell', 'Flood', 'Hail', 'Haze/Smoke', 'High Seas/Rogue waves etc.', 'High UV radiation', 'Icing', 'Landslide/Mudslide & Debris flow', 'Lightning', 'Rain/Wet Spell', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Tropical cyclone', 'Tsunami', 'Wind', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'N/A']",09/27/2023,0,No
Timor-Leste,[0],09/29/2023,2,Unknown
Togo,"['Drought/Dry spell', 'Dust storm/Sandstorm', 'Fog', 'Haze/Smoke', 'Lightning', 'Rain/Wet Spell', 'Thunderstorms/Squall lines', 'Tornado', 'Wind', 'Yes', 'No', 'No', 'No', 'Yes', 'Yes', 'No', 'No', 'Pas de feedback']",09/27/2023,0,No
Tonga,[0],09/29/2023,2,Unknown
Trinidad and Tobago,"['Drought/Dry spell', 'Flood', 'Heat wave', 'High Seas/Rogue waves etc.', 'Landslide/Mudslide & Debris flow', 'Lightning', 'Rain/Wet Spell', 'Thunderstorms/Squall lines', 'Tropical cyclone', 'Tsunami', 'Volcanic ash', 'Wind', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'N/A']",09/29/2023,1,Yes
Tunisia,"['Cold wave', 'Dust storm/Sandstorm', 'Fog', 'Freezing rain', 'Hail', 'Haze/Smoke', 'Heat wave', 'High Seas/Rogue waves etc.', 'Icing', 'Lightning', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Thunderstorms/Squall lines', 'Wild land fire/Forest fire', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'No', 'No']",09/29/2023,1,Yes
Turkmenistan,[0],09/29/2023,2,Unknown
Tuvalu,"['Drought/Dry spell', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Tropical cyclone', 'Tsunami', 'Wind', 'Yes', 'No', 'Yes', 'Large Waves - 2 days & Strong Winds - 1 - 3 days', 'Yes', 'Yes', 'Yes', 'No', 'Our population is only 11,000 people']",09/26/2023,0,No
Turkey,[0],09/29/2023,2,Unknown
Uganda,[0],09/29/2023,2,Unknown
Ukraine,"['Avalanche', 'Cold wave', 'Drought/Dry spell', 'Dust storm/Sandstorm', 'Extra-tropical cyclone', 'Flood', 'Fog', 'Freezing rain', 'Frost', 'Hail', 'Haze/Smoke', 'Heat wave', 'Icing', 'Landslide/Mudslide & Debris flow', 'Lightning', 'Yes', 'No', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'Yes', '20']",09/26/2023,1,Yes
United Arab Emirates,"['Dust storm/Sandstorm', 'Flood', 'Freezing rain', 'Hail', 'Haze/Smoke', 'High Seas/Rogue waves etc.', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Tropical cyclone', 'Tsunami', 'Wind', 'Yes', 'Yes', '5 days', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'All']",09/27/2023,0,No
United Kingdom of Great Britain and Northern Ireland,"['Extra-tropical cyclone', 'Fog', 'Freezing rain', 'Hail', 'Heat wave', 'High UV radiation', 'Icing', 'Lightning', 'Pollen pollution/Polluted air', 'Rain/Wet Spell', 'Snow', 'Snowstorm', 'Space weather event', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Yes', 'Yes', 'Yes', '7 days', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'All']",09/29/2023,1,Yes
United Republic of Tanzania,"['Cold wave', 'Drought/Dry spell', 'Dust storm/Sandstorm', 'Flood', 'Fog', 'Hail', 'Heat wave', 'High Seas/Rogue waves etc.', 'Lightning', 'Rain/Wet Spell', 'Thunderstorms/Squall lines', 'Tropical cyclone', 'Tsunami', 'Wind', 'Yes', 'Yes', 'Yes', 'Five days', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'more than 85,000']",09/27/2023,1,Yes
United States of America,"['Biomass burning plumes', 'Cold wave', 'Drought/Dry spell', 'Dust storm/Sandstorm', 'Extra-tropical cyclone', 'Flood', 'Fog', 'Freezing rain', 'Frost', 'Hail', 'Haze/Smoke', 'Heat wave', 'High Seas/Rogue waves etc.', 'High UV radiation', 'Icing', 'Yes', 'Yes', 'Yes', 'Depends on the event type, typically hours or minutes in some cases', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Odd question, the entire population, approx 330 million.']",09/26/2023,1,Yes
Uruguay,"['Cold wave', 'Extra-tropical cyclone', 'Fog', 'Frost', 'Hail', 'Haze/Smoke', 'Heat wave', 'Lightning', 'Rain/Wet Spell', 'Space weather event', 'Thunderstorms/Squall lines', 'Volcanic ash', 'Wind', 'Yes', 'No', 'Yes', '24 a 48 horas', 'Yes', 'Yes', 'Yes', 'No', 'No', '100']",09/29/2023,1,Yes
Uzbekistan,[0],09/26/2023,2,Unknown
Vanuatu,[0],09/29/2023,2,Unknown
Venezuela (Bolivarian Republic of),[0],09/29/2023,2,Unknown
Vietnam,"['Cold wave', 'Drought/Dry spell', 'Dust storm/Sandstorm', 'Flood', 'Fog', 'Freezing rain', 'Frost', 'Hail', 'Haze/Smoke', 'Heat wave', 'High Seas/Rogue waves etc.', 'High UV radiation', 'Landslide/Mudslide & Debris flow', 'Lightning', 'Rain/Wet Spell', 'Yes', 'Yes', 'Yes', '- Maximum leadtime is indicated upon each warnings. - Flood: the lead time 24h hour - Flash flood: 3-6 hour, drough: 5-10 days', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'Nearly 100']",09/29/2023,1,Yes
Yemen,[0],09/29/2023,2,Unknown
Zambia,[0],09/26/2023,2,Unknown
Zimbabwe,"['Cold wave', 'Drought/Dry spell', 'Flood', 'Fog', 'Frost', 'Hail', 'Haze/Smoke', 'Heat wave', 'Lightning', 'Rain/Wet Spell', 'Thunderstorms/Squall lines', 'Tropical cyclone', 'Wind', 'No', 'Yes', 'Yes', '6-hour', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', '50000']",09/29/2023,1,Yes
