Author(s),Title,Publication Date,Source,Page Numbers,Link
"Z Xu, G FitzGerald, Y Guo, B Jalaludin, S Tong - Environment international, 2016 - Elsevier",Impact of heatwave on mortality under different heatwave definitions: a systematic review and meta-analysis,"Z Xu, G FitzGerald, Y Guo, B Jalaludin, S Tong - Environment international, 2016 - Elsevier","Z Xu, G FitzGerald, Y Guo, B Jalaludin, S Tong - Environment international, 2016 - Elsevier",[PDF] researchgate.net,https://www.sciencedirect.com/science/article/pii/S0160412016300411
"S Campbell, TA Remenyi, CJ White, FH Johnston - Health & place, 2018 - Elsevier",Heatwave and health impact research: A global review,"S Campbell, TA Remenyi, CJ White, FH Johnston - Health & place, 2018 - Elsevier","S Campbell, TA Remenyi, CJ White, FH Johnston - Health & place, 2018 - Elsevier",[HTML] sciencedirect.com,https://www.sciencedirect.com/science/article/pii/S1353829218301205
"PA Stott, DA Stone, MR Allen - Nature, 2004 - nature.com",Human contribution to the European heatwave of 2003,"PA Stott, DA Stone, MR Allen - Nature, 2004 - nature.com","PA Stott, DA Stone, MR Allen - Nature, 2004 - nature.com",[PDF] grandkidzfuture.com,https://www.nature.com/articles/nature03089
"A Flynn, C McGreevy, EC Mulkerrin - Qjm, 2005 - academic.oup.com",Why do older patients die in a heatwave?,"A Flynn, C McGreevy, EC Mulkerrin - Qjm, 2005 - academic.oup.com","A Flynn, C McGreevy, EC Mulkerrin - Qjm, 2005 - academic.oup.com",[HTML] oup.com,https://academic.oup.com/qjmed/article-abstract/98/3/227/1538832
None,None,None,None,None,None
"SE Perkins-Kirkpatrick, PB Gibson - Scientific Reports, 2017 - nature.com",Changes in regional heatwave characteristics as a function of increasing global temperature,"SE Perkins-Kirkpatrick, PB Gibson - Scientific Reports, 2017 - nature.com","SE Perkins-Kirkpatrick, PB Gibson - Scientific Reports, 2017 - nature.com",[HTML] nature.com,https://www.nature.com/articles/s41598-017-12520-2
"M Stefanon, F D'Andrea… - Environmental Research …, 2012 - iopscience.iop.org",Heatwave classification over Europe and the Mediterranean region,"M Stefanon, F D'Andrea… - Environmental Research …, 2012 - iopscience.iop.org","M Stefanon, F D'Andrea… - Environmental Research …, 2012 - iopscience.iop.org",[PDF] iop.orgFull View,https://iopscience.iop.org/article/10.1088/1748-9326/7/1/014023/meta
"JR Nairn, RJB Fawcett - … journal of environmental research and public …, 2015 - mdpi.com",The excess heat factor: a metric for heatwave intensity and its use in classifying heatwave severity,"JR Nairn, RJB Fawcett - … journal of environmental research and public …, 2015 - mdpi.com","JR Nairn, RJB Fawcett - … journal of environmental research and public …, 2015 - mdpi.com",[PDF] mdpi.com,https://www.mdpi.com/1660-4601/12/1/227
"SE Perkins-Kirkpatrick, SC Lewis - Nature communications, 2020 - nature.com",Increasing trends in regional heatwaves,"SE Perkins-Kirkpatrick, SC Lewis - Nature communications, 2020 - nature.com","SE Perkins-Kirkpatrick, SC Lewis - Nature communications, 2020 - nature.com",[HTML] nature.comFull View,https://www.nature.com/articles/s41467-020-16970-7
"J Kravchenko, AP Abernethy, M Fawzy… - American journal of …, 2013 - Elsevier",Minimization of heatwave morbidity and mortality,"J Kravchenko, AP Abernethy, M Fawzy… - American journal of …, 2013 - Elsevier","J Kravchenko, AP Abernethy, M Fawzy… - American journal of …, 2013 - Elsevier",Save Cite Cited by 196 Related articles All 10 versions  ,https://www.sciencedirect.com/science/article/pii/S0749379712008781
"MA Coleman, AJP Minne, S Vranken, T Wernberg - Scientific reports, 2020 - nature.com",Genetic tropicalisation following a marine heatwave,"MA Coleman, AJP Minne, S Vranken, T Wernberg - Scientific reports, 2020 - nature.com","MA Coleman, AJP Minne, S Vranken, T Wernberg - Scientific reports, 2020 - nature.com",[HTML] nature.com,https://www.nature.com/articles/s41598-020-69665-w
None,None,None,None,None,None
"PJ Robinson - Journal of Applied Meteorology and …, 2001 - journals.ametsoc.org",On the definition of a heat wave,"PJ Robinson - Journal of Applied Meteorology and …, 2001 - journals.ametsoc.org","PJ Robinson - Journal of Applied Meteorology and …, 2001 - journals.ametsoc.org",[PDF] vnu.edu.vn,https://journals.ametsoc.org/view/journals/apme/40/4/1520-0450_2001_040_0762_otdoah_2.0.co_2.xml?tab_body=fulltext-display
"KE Smoyer-Tomic, R Kuhn, A Hudson - Natural hazards, 2003 - Springer",Heat wave hazards: an overview of heat wave impacts in Canada,"KE Smoyer-Tomic, R Kuhn, A Hudson - Natural hazards, 2003 - Springer","KE Smoyer-Tomic, R Kuhn, A Hudson - Natural hazards, 2003 - Springer",Save Cite Cited by 244 Related articles All 13 versions  ,https://link.springer.com/article/10.1023/A:1022946528157
"R García-Herrera, J Díaz, RM Trigo… - Critical Reviews in …, 2010 - Taylor & Francis",A review of the European summer heat wave of 2003,"R García-Herrera, J Díaz, RM Trigo… - Critical Reviews in …, 2010 - Taylor & Francis","R García-Herrera, J Díaz, RM Trigo… - Critical Reviews in …, 2010 - Taylor & Francis",[PDF] researchgate.net,https://www.tandfonline.com/doi/abs/10.1080/10643380802238137
"DD Joseph, L Preziosi - Reviews of modern physics, 1989 - APS",Heat waves,"DD Joseph, L Preziosi - Reviews of modern physics, 1989 - APS","DD Joseph, L Preziosi - Reviews of modern physics, 1989 - APS",[PDF] researchgate.net,https://journals.aps.org/rmp/abstract/10.1103/RevModPhys.61.41
None,None,None,None,None,None
"GB Anderson, ML Bell - Environmental health perspectives, 2011 - ehp.niehs.nih.gov",Heat waves in the United States: mortality risk during heat waves and effect modification by heat wave characteristics in 43 US communities,"GB Anderson, ML Bell - Environmental health perspectives, 2011 - ehp.niehs.nih.gov","GB Anderson, ML Bell - Environmental health perspectives, 2011 - ehp.niehs.nih.gov",[HTML] nih.gov,https://ehp.niehs.nih.gov/doi/abs/10.1289/ehp.1002313
"J Tan, Y Zheng, G Song, LS Kalkstein… - International journal of …, 2007 - Springer","Heat wave impacts on mortality in Shanghai, 1998 and 2003","J Tan, Y Zheng, G Song, LS Kalkstein… - International journal of …, 2007 - Springer","J Tan, Y Zheng, G Song, LS Kalkstein… - International journal of …, 2007 - Springer",[PDF] researchgate.net,https://link.springer.com/article/10.1007/s00484-006-0058-3
"PA Stott, DA Stone, MR Allen - Nature, 2004 - nature.com",Human contribution to the European heatwave of 2003,"PA Stott, DA Stone, MR Allen - Nature, 2004 - nature.com","PA Stott, DA Stone, MR Allen - Nature, 2004 - nature.com",[PDF] grandkidzfuture.com,https://www.nature.com/articles/nature03089
"FG Kuglitsch, A Toreti, E Xoplaki… - Geophysical …, 2010 - Wiley Online Library",Heat wave changes in the eastern Mediterranean since 1960,"FG Kuglitsch, A Toreti, E Xoplaki… - Geophysical …, 2010 - Wiley Online Library","FG Kuglitsch, A Toreti, E Xoplaki… - Geophysical …, 2010 - Wiley Online Library",[PDF] wiley.comFull View,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2009GL041841
"SM Bernard, MA McGeehin - American journal of …, 2004 - ajph.aphapublications.org",Municipal heat wave response plans,"SM Bernard, MA McGeehin - American journal of …, 2004 - ajph.aphapublications.org","SM Bernard, MA McGeehin - American journal of …, 2004 - ajph.aphapublications.org",[PDF] aphapublications.orgFull View,https://ajph.aphapublications.org/doi/abs/10.2105/AJPH.94.9.1520
"S Hajat, B Armstrong, M Baccini, A Biggeri, L Bisanti… - Epidemiology, 2006 - JSTOR",Impact of high temperatures on mortality: is there an added heat wave effect?,"S Hajat, B Armstrong, M Baccini, A Biggeri, L Bisanti… - Epidemiology, 2006 - JSTOR","S Hajat, B Armstrong, M Baccini, A Biggeri, L Bisanti… - Epidemiology, 2006 - JSTOR",Save Cite Cited by 523 Related articles All 13 versions  ,https://www.jstor.org/stable/20486291
None,None,None,None,None,None
